NAME,LAT,LONG
ARLINGTON HEIGHTS (ARLINGTON AVE + JOSEPHINE ST),40.417353,-79.965461
ARLINGTON STOP,40.369525,-80.030604
ARSENAL FAMILY AND CHILDRENS CENTER,40.456915,-79.938578
ARSENAL FAMILY AND CHILDRENS SERVICES,40.291304,-79.886084
ARSENAL LANES,40.471457,-79.959796
ARSENAL MIDDLE SCHOOL,40.468306,-79.962186
ASBURY HEIGHTS,40.383349,-80.056404
ASPINWALL (FREEPORT RD + BRILLIANT AVE),40.488831,-79.901073
AT&T - DOWNTOWN PGH,40.441668,-79.995456
ATRIA SOUTH HILLS,40.343183,-79.969595
AUGUST WILSON CENTER,40.443715,-79.995002
AUNTIE SHERRYS CHRISTIAN CHILD CARE,40.458603,-79.873894
ARTHUR J ROONEY MIDDLE SCHOOL,40.479780,-80.039099
AUTUMN LANE PERSONAL CARE FACILITY,40.503919,-80.140127
AVALON (CALIFORNIA AVE),40.503338,-80.072953
AVALON (OHIO RIVER BLVD),40.501439,-80.075070
AVALON ELEMENTARY SCHOOL AGE CHILD CARE,40.500077,-80.065613
AVALON LOOP,40.503694,-80.074745
AVALON PUBLIC LIBRARY,40.498611,-80.061874
AVIARY,40.453766,-80.010314
AVON COURT,40.359956,-80.111615
AVON COURT APARTMENTS,40.368615,-80.036966
BABYLAND,40.463489,-79.930677
BAKERY SQUARE,40.457476,-79.917412
BALDWIN HEALTH CENTER,40.364524,-79.964733
BALDWIN HIGH SCHOOL,40.355717,-79.978690
BAMBINOS DAY CARE CENTER,40.395492,-80.022459
BANK CENTER,40.439478,-80.000897
BANKSVILLE MIDDLE SCHOOL,40.407168,-80.036534
BANKSVILLE PLAZA,40.399627,-80.044356
BAPTIST HOMES NURSING CENTER,40.370739,-80.032360
BEACON HILL APARTMENTS,40.442227,-79.863440
BEAGLE STOP,40.301218,-80.031791
BEDFORD DWELLINGS - CHAUNCEY DRIVE,40.449804,-79.974620
BEDFORD DWELLINGS - SOMERS DRIVE,40.448960,-79.976608
BEDFORD DWELLINGS - WHITESIDE ROAD,40.447609,-79.979788
BEDFORD HILL,40.448212,-79.978358
BEECHWOOD ELEMENTARY,40.413128,-80.020205
BEECHWOOD POOL,40.413128,-80.020205
BELASCO STOP,40.407119,-80.027001
BELL STATION,40.415485,-80.082910
BELL TELEPHONE - DOWNTOWN,40.440161,-80.004843
BELLEVUE (LINCOLN AVE),40.494139,-80.052681
BELLEVUE (OHIO RIVER BLVD),40.486274,-80.054001
BELMAR ELEMENTARY,40.460165,-79.895227
BELMONT RIDGE,40.432126,-79.779417
BELTZHOOVER ELEMENTARY,40.418343,-79.998830
BEN AVON HEIGHTS - NEW BRIGHTON ROAD,40.513721,-80.073058
BENEDUM CENTER,40.442991,-80.000108
BENEDUM CENTER FOR THE PERFORMING ARTS,40.442989,-80.000108
BENJAMIN FRANKLIN ELEMENTARY,40.322313,-80.030421
BERNICE CRAWLEY MANOR,40.406192,-79.932694
BEST WESTERN-UNIVERSITY CTR (OAKLAND),40.436006,-79.958097
BETH SHALOM EARLY CHILDHOOD DEPT,40.434749,-79.922833
BETHEL AME CHURCH - BEDFORD AVE,40.451705,-79.969952
BETHEL PARK CENTER,40.339280,-80.043964
BETHEL PARK HIGH SCHOOL,40.336872,-80.043035
BETHEL VILLAGE STOP,40.345249,-80.046679
BETTIS PLANT,40.356054,-79.899463
BEULAH CHRISTIAN PRESCHOOL,40.445534,-79.843204
BEVERLY COURT,40.392283,-80.046960
BIDWELL TRAINING CENTER,40.459014,-80.032424
BILL GREEN SHOPPING CENTER,40.340724,-79.964997
BIRNAM WOOD,40.426194,-79.760060
BLAWNOX (FREEPORT RD + LEWIS AVE),40.497293,-79.855710
BLOOMFIELD (FRIENDSHIP AVE),40.462686,-79.945582
BLOOMFIELD (LIBERTY AVE),40.459998,-79.945973
BLOOMFIELD POOL,40.460916,-79.953723
BLOOMFIELD SENIOR CITIZEN CENTER,40.460924,-79.950802
BNY MELLON CLIENT SERVICE CENTER,40.439013,-79.995593
BNY MELLON HEADQUARTERS,40.439372,-79.996752
BOGGS STATION,40.416266,-80.010020
BOMBARDIER TRANSPORTATION,40.353648,-79.901509
BON AIR ELEMENTARY,40.407727,-80.000471
BON AIR STOP,40.409774,-80.004052
BOTTOM DOLLAR - AMBRIDGE,40.593764,-80.226564
BOTTOM DOLLAR - BRIDGEVILLE,40.370972,-80.100264
BOTTOM DOLLAR - CARNEGIE,40.397117,-80.084439
BOTTOM DOLLAR - CASTLE SHANNON,40.368900,-80.036031
BOTTOM DOLLAR - GARFIELD,40.464327,-79.939962
BOTTOM DOLLAR - HOMESTEAD,40.406918,-79.911990
BOTTOM DOLLAR - MCKEES ROCKS,40.464985,-80.068110
BOTTOM DOLLAR - MCKEESPORT,40.328160,-79.836961
BOTTOM DOLLAR - NORTH HILLS,40.535212,-80.010965
BOTTOM DOLLAR - PENN HILLS,40.469860,-79.823242
BOTTOM DOLLAR - WEST MIFFLIN,40.342536,-79.985252
BOWER HILL III,40.375427,-80.069915
BRADDOCK (BRADDOCK AVE + LIBRARY ST),40.401178,-79.865711
BRADDOCK CARNEGIE LIBRARY,40.401485,-79.865336
BRADDOCK HILLS SHOPPING CENTER,40.413649,-79.854133
BRADDOCK MEDICAL CENTER,40.405058,-79.871526
BRADFORD SCHOOL,40.442452,-79.995301
BRASHEAR HIGH SCHOOL,40.417055,-80.025180
BRASHEAR HIGH SCHOOL CHILD CARE,40.417055,-80.025180
BRASS RING LEARNING CENTERS,40.349129,-80.023523
BRENTWOOD HIGH SCHOOL,40.372553,-79.975401
BRENTWOOD LOOP,40.380650,-79.976121
BRENTWOOD TOWNE CENTER,40.364746,-79.983226
BRIDGEVILLE (WASHINGTON AVE + STATION ST,40.358501,-80.112242
BRIDGEVILLE EAT AND PARK,40.369780,-80.101312
BRIDGEVILLE LIBRARY,40.357065,-80.109762
BRIDGEVILLE SENIOR CENTER,40.353406,-80.110723
BRIGHT AND EARLY LEARNING AND CHILD CARE - BALDWIN,40.357846,-79.997443
BRIGHT AND EARLY LEARNING AND CHILD CARE - WEST MIFFLIN,40.352541,-79.992880
BRIGHTWOOD PLAZA,40.338595,-80.027908
BRIGHTWOOD PLAZA APARTMENTS,40.338543,-80.028376
BRINTON MANOR,40.411656,-79.854087
BRINTON TOWERS,40.410473,-79.851689
BROADHEAD POOL,40.446861,-80.084202
BROOKLINE AREA CHILD CARE CENTER,40.393612,-80.023070
BROOKLINE ELEMENTARY,40.394943,-80.024884
BROOKLINE POOL,40.391809,-80.016712
BUFFALO BLUES,40.457123,-79.925213
BUNCHER INDUSTRIAL PARK,40.564909,-80.206937
BURGER KING - SOUTH SIDE,40.428665,-79.979135
BURGWIN ELEMENTARY,40.404403,-79.939173
BURLINGTON COAT FACTORY - BETHEL PARK,40.347644,-80.049658
BURLINGTON COAT FACTORY - DOWNTOWN,40.441449,-79.997735
BURLINGTON COAT FACTORY - MONROEVILLE,40.435949,-79.785579
BURLINGTON COAT FACTORY - ROSS,40.526592,-80.005692
BUTTERFLY GARDEN EARLY LEARNING CENTER,40.474220,-80.056527
BYHAM THEATRE,40.443868,-80.002625
CALIGUIRI PLAZA,40.421804,-79.992329
CAMBRIA SUITES,40.441016,-79.986001
CAMBRIDGE SQUARE,40.422941,-79.754596
CANTERBURY PLACE,40.465906,-79.956918
CAPA SCHOOL,40.445351,-79.999096
CARDELLO BUILDING,40.450344,-80.028048
CAREER AND WORKFORCE DEVELOPMENT EAST,40.455879,-79.896314
CAREER TRAINING ACADEMY,40.432332,-79.793993
CAREERLINK ALLE-KISKI,40.565416,-79.765196
CAREERLINK EAST,40.420127,-79.851438
CAREERLINK PITTSBURGH,40.441281,-79.996853
CAREERLINK WEST,40.449689,-80.162239
CARLOW UNIVERSITY,40.437840,-79.963935
CARLYNTON HIGH SCHOOL,40.427079,-80.094649
CARLYNTON JUNIOR HIGH SCHOOL,40.427079,-80.094649
CARMALT ELEMENTARY,40.388471,-80.007008
CARNEGIE ELEMENTARY,40.404573,-80.077791
CARNEGIE LIBRARY - ALLEGHENY CENTER,40.454265,-80.004271
CARNEGIE LIBRARY - BEECHVIEW,40.407119,-80.027001
CARNEGIE LIBRARY - BLIND/HANDICAPPED,40.454087,-79.949496
CARNEGIE LIBRARY - BROOKLINE,40.394889,-80.021552
CARNEGIE LIBRARY - CARRICK,40.396692,-79.987723
CARNEGIE LIBRARY - DOWNTOWN PGH,40.441457,-79.997735
CARNEGIE LIBRARY - EAST LIBERTY,40.460683,-79.926005
CARNEGIE LIBRARY - HAZELWOOD,40.409985,-79.944095
CARNEGIE LIBRARY - HILL DISTRICT,40.445323,-79.976177
CARNEGIE LIBRARY - HOMEWOOD,40.455136,-79.899657
CARNEGIE LIBRARY - KNOXVILLE,40.413246,-79.988857
CARNEGIE LIBRARY - LAWRENCEVILLE,40.467095,-79.958783
CARNEGIE LIBRARY - MT. WASHINGTON,40.433346,-80.009890
CARNEGIE LIBRARY - OAKLAND,40.443904,-79.950789
CARNEGIE LIBRARY - SHERADEN,40.455035,-80.055636
CARNEGIE LIBRARY - SOUTH SIDE,40.428408,-79.974639
CARNEGIE LIBRARY - SQUIRREL HILL,40.438062,-79.923002
CARNEGIE LIBRARY - WEST END,40.440224,-80.034377
CARNEGIE LIBRARY - WOODS RUN,40.476508,-80.031694
CARNEGIE MELLON UNIVERSITY,40.444647,-79.943004
CARNEGIE MUSEUM OF ART,40.443726,-79.949360
CARNEGIE MUSEUM OF NATURAL HISTORY,40.443518,-79.949828
CARNEGIE MUSIC HALL OF OAKLAND,40.443581,-79.950901
CARNEGIE SCIENCE CENTER,40.445521,-80.017676
CARNEGIE STATION,40.407034,-80.089856
CARRIAGE HOUSE APARTMENTS,40.442575,-79.867879
CARRIAGE PARK APTS,40.403466,-80.058188
CARRICK HIGH SCHOOL,40.390847,-79.989203
CARRICK REGENCY,40.390776,-79.986328
CARRICK SHOPPING CENTER,40.380223,-79.975747
CARSON MIDDLE SCHOOL,40.569364,-80.037416
CARSON STREET COMMONS,40.427838,-79.969808
CARVER HALL,40.292940,-79.880552
CASSIE'S CRADLE,40.387252,-79.902291
CASTE VILLAGE,40.359726,-80.000780
CASTLE SHANNON LEARNING CENTER,40.367075,-80.024503
CASTLE SHANNON STATION,40.368059,-80.030377
CASTLETONE,40.377502,-80.040115
CASTRIOTA,40.408448,-80.017785
CASWELL STOP,40.349395,-80.033680
CATHEDRAL OF LEARNING,40.444540,-79.954159
CCAC - AIRPORT WEST,40.433061,-80.191310
CCAC - ALLEGHENY CAMPUS,40.450070,-80.013082
CCAC - BOYCE CAMPUS,40.453172,-79.752332
CCAC - BRADDOCK HILLS,40.413649,-79.854133
CCAC - DOWNTOWN CENTER,40.441161,-80.003982
CCAC - HOMEWOOD-BRUSHTON,40.455997,-79.896843
CCAC - MAIN CAMPUS,40.449908,-80.013734
CCAC - MON VALLEY CENTER,40.349529,-79.864649
CCAC - NORTH CAMPUS,40.565164,-80.038770
CCAC - SOUTH CAMPUS,40.329454,-79.930851
CCAC BOYCE CHILD DEVELOPMENT CENTER,40.441742,-79.742894
CENTENNIAL SCHOOL,40.341903,-79.855058
CENTER CITY PLAZA,40.564596,-79.766475
CENTER CITY TOWER,40.442641,-79.996849
CENTER ELEMENTARY,40.483345,-79.756833
CENTRAL CATHOLIC HIGH SCHOOL,40.446828,-79.946491
CENTRAL ELEMENTARY - ELIZABETH,40.272631,-79.823554
CENTRAL STOP,40.391017,-79.999399
CENTURY III MALL,40.335521,-79.942715
CENTURY III MALL - MAIN ENTRANCE SIDE,40.338297,-79.948472
CENTURY SQUARE,40.345764,-79.948247
CENTURY TOWNHOMES,40.287366,-79.897751
CHAMBER OF COMMERCE - DOWNTOWN PGH,40.442841,-79.996644
CHARTIERS ELEMENTARY,40.459343,-80.077677
CHARTIERS SENIOR CENTER,40.404850,-80.082386
CHARTIERS VALLEY MIDDLE SCHOOL,40.398339,-80.076423
CHARTIERS VALLEY SHOPPING CENTER,40.365973,-80.110129
CHATHAM ELEMENTARY,40.490231,-80.018509
CHATHAM TOWER,40.439445,-79.992760
CHATHAM UNIVERSITY,40.445480,-79.922926
CHATTER BOX DAY CARE CENTER,40.462782,-79.850133
CHEATHAMS PLAY PLACE ( LEARNING CTR),40.438607,-79.986462
CHEESECAKE FACTORY,40.427953,-79.966684
CHERRINGTON CORPORATE CENTER,40.498855,-80.202794
CHERYL GENDLE'S DAY CARE,40.442937,-80.068995
CHESWICK DAY CARE CENTER,40.541107,-79.801383
CHESWICK THEATER,40.541469,-79.798981
CHILD'S WAY,40.457413,-79.936950
CHILDREN YOUTH MINISTRY,40.489508,-80.018372
CHILDREN'S ADVENTURE LEARNING CENTER-BETHEL,40.342106,-80.016254
CHILDRENS ADVENTURE LEARNING CENTER,40.403625,-80.083356
CHILDRENS ADVENTURE LEARNING CENTER-CARNEGIE,40.342106,-80.016254
CHILDRENS EXPRESS LEARNING CENTER,40.486844,-79.755339
CHILDRENS HOME OF PITTSBURGH,40.464672,-79.936446
CHILDRENS INSTITUTE,40.443846,-79.920519
CHILDRENS LEARNING AND DEVELOPMENT CTR,40.437831,-79.954239
CHILDRENS MUSEUM OF PITTSBURGH,40.453065,-80.007246
CHRIST LUTHERAN CHURCH DAY CARE CENTER,40.422119,-79.843676
CHRIST LUTHERAN SCHOOL,40.422831,-79.844593
CHURCH BREW WORKS,40.461853,-79.963948
CHURCHHILL VALLEY COUNTRY CLUB,40.449941,-79.844782
CHURCHILL SQUARE,40.419754,-79.824281
CINEMA 4,40.392083,-80.038019
CITY CHARTER HIGH SCHOOL,40.440021,-80.004745
CITY PARKS - NORTHVIEW HEIGHTS CENTER,40.477034,-79.999517
CITY THEATER,40.429268,-79.985060
CITY-COUNTY BUILDING,40.438706,-79.997321
CITY-COUNTY OFFICE BUILDING,40.438706,-79.997321
CLAIRTON (STATE ST + WALNUT AVE),40.308406,-79.889034
CLAIRTON ELEMENTARY,40.293784,-79.885289
CLAIRTON HIGH SCHOOL,40.293784,-79.885289
CLAIRTON JUNIOR HIGH SCHOOL,40.293784,-79.885289
CLARA BARTON ELEMENTARY,40.343476,-79.920180
CLARK BUILDING - DOWNTOWN,40.442695,-79.999492
CLAYBOURNE,40.455616,-79.935961
CLAYTON ELEMENTARY,40.463437,-80.010985
CLAYTON HOUSE,40.448590,-79.901208
COLFAX ELEMENTARY PGH PUBLIC SCH,40.432872,-79.915466
COLFAX SCHOOL - SPRINGDALE,40.544275,-79.784277
COLLIER GARAGE,40.366434,-80.103591
COLONY WEST,40.518047,-80.224207
COLUMBUS MIDDLE SCHOOL,40.460274,-80.016135
COMCAST - OFFICE/PAYMENT CENTER,40.450289,-80.045088
COMFORT INN - PENN HILLS,40.445973,-79.828004
COMMUNITY HUMAN SERVICES CORP,40.433899,-79.962731
CONCORD ELEMENTARY,40.387323,-79.983803
CONNELLY TECHNICAL INSTITUTE,40.444444,-79.987275
CONROY EDUCATION CENTER,40.451303,-80.025427
CONSOL ENERGY CENTER,40.438802,-79.990923
CONVENTION CENTER,40.444559,-79.995568
CORAOPOLIS (RT 51 + THORN RUN RD),40.523427,-80.177086
CORK FACTORY,40.452306,-79.983863
CORNELL ELEMENTARY,40.509635,-80.167199
CORNELL HIGH SCHOOL,40.509635,-80.167199
CORNELL JUNIOR HIGH SCHOOL,40.509635,-80.167199
CORNELL MIDDLE SCHOOL,40.344109,-79.858235
CORPUS CHRISTI RESIDENCE,40.470274,-79.894520
COSTCO WHOLESALE - WATERFRONT,40.409478,-79.913613
COUNCIL OF THREE RIVERS AMERICAN INDIAN,40.415038,-79.993021
COUNTRY MEADOWS OF SOUTH HILLS,40.294491,-80.023848
COUNTY AIRPORT,40.350302,-79.927083
COUNTY COURT HOUSE,40.439287,-79.996752
COURTYARD MARRIOTT - DOWNTOWN,40.443942,-79.998077
COURTYARD MARRIOTT - SHADYSIDE,40.455906,-79.938597
COURTYARD MARRIOTT - WATERFRONT,40.411328,-79.913348
COURTYARD OF SEWICKLEY,40.537355,-80.186072
COWLEY POOL,40.458236,-79.989797
CRAFTON CHILDRENS CORNER,40.365727,-80.016335
CRAFTON ELEMENTARY,40.431691,-80.069754
CRAFTON INGRAM SHOPPING CENTER,40.442060,-80.071104
CRAFTON STATION,40.436006,-80.067555
CRAFTON UM CHILD LEARNING CENTER,40.437111,-80.069033
CRANBERRY MALL,40.682875,-80.104045
CRAWFORD SQUARE,40.441440,-79.985014
CRAWFORD VILLAGE,40.349814,-79.840543
CREIGHTON (FREEPORT RD + FERRY/BAILEYS R,40.587415,-79.776286
CRESCENT ELEMENTARY,40.454120,-79.881058
CRESTAS TERRACE,40.387901,-79.841079
CRIB TO CRAYONS,40.345010,-79.970895
CRIB TO CRAYONS - CAMPBELL DR,40.343624,-79.967994
CURRY HOLLOW SHOPPING CENTER,40.336485,-79.979052
CVS CARNEGIE,40.398991,-80.082602
CVS DORMONT,40.392803,-80.037253
CVS WILKINSBURG,40.444035,-79.885890
CYERT CENTER FOR EARLY EDUCATION,40.444647,-79.943004
CYNTHIA K FRANCKS CHILD CARE III,40.418047,-79.848739
CYNTHIA K FRANCKS CHILD CARE II,40.506352,-79.829493
CYNTHIA K FRANCKS CHILD CARE IV,40.462483,-79.840737
CYNTHIA K FRANCKS CHILD CARE V,40.459573,-79.840074
D. T. WATSON REHABILITATION HOSPITAL,40.575144,-80.202975
DAILY'S JUICE,40.507884,-79.842705
DAVISON SQUARE,40.471148,-79.956493
DAWN STATION,40.413457,-80.011002
DAWN STOP,40.413457,-80.011002
DEAN TECH,40.410429,-80.015540
DEER LAKES ELEMENTARY,40.611883,-79.853268
DEER LAKES HIGH SCHOOL,40.611883,-79.853268
DEER LAKES JUNIOR HIGH SCHOOL,40.611883,-79.853268
DEL'S - BLOOMFIELD,40.463141,-79.951816
DENISE STATION,40.398284,-79.998661
DENNIS THEATER,40.380711,-80.044448
DEVRY - DOWNTOWN,40.442093,-79.999503
DILLWORTH ELEMENTARY,40.468380,-79.917633
DONT WORRY CHILDCARE,40.351231,-79.862118
DORCHESTER STOP,40.339878,-80.049224
DORMONT (WEST LIBERTY AVE + POTOMAC AVE),40.395028,-80.034275
DORMONT - PEERMONT,40.387367,-80.040362
DORMONT - WEST LIBERTY AVENUE,40.398328,-80.026170
DORMONT SENIOR CITIZEN CENTER,40.394034,-80.037311
DORMONT STATION,40.391820,-80.040926
DORMONT VILLAGE SHOPPING CENTER,40.393686,-80.036149
DOUBLE TREE,40.450974,-79.954907
DOWNTOWN - YMCA,40.441207,-80.001645
DOWNTOWN SERVICE CENTER,40.441169,-79.997890
DRIVER LICENSE CENTER - ALLISON PARK,40.566216,-79.999668
DRIVER LICENSE CENTER - BRIDGEVILLE,40.365971,-80.110129
DRIVER LICENSE CENTER - EAST LIBERTY,40.460121,-79.927911
DRIVER LICENSE CENTER - PENN HILLS,40.464829,-79.826353
DUFFS BUSINESS INSTITUTE,40.441079,-80.003953
DUNCAN MANOR SHOPPING CENTER,40.566663,-79.999044
DUQUESNE INCLINE - LOWER STATION,40.439698,-80.017750
DUQUESNE INCLINE - UPPER STATION,40.438232,-80.018934
DUQUESNE UNIVERSITY - LOWER CAMPUS,40.437727,-79.986538
DUQUESNE UNIVERSITY - UPPER CAMPUS,40.435404,-79.984400
DUQUESNE VILLAGE SHOPPING CENTER,40.366023,-79.871906
DYNAMITE DAYCARE,40.603018,-79.752514
DYNAMO WAY - EAST PITTSBURGH,40.400440,-79.835649
E. B DREW PERSONAL CARE HOME,40.367341,-80.116558
EAGLE RIDGE,40.438454,-79.780732
EAST HILLS POOL,40.455101,-79.871150
EAST LIBERTY GARAGE,40.455756,-79.910543
EAST LIBERTY STATION,40.459197,-79.922027
EASTERN AREA ADULT SERVICES,40.405198,-79.870400
EASTERN AREA ADULT SERVICES - WBG,40.445288,-79.889615
EASTERN AREA ADULT SERVICES TURTLE CRK,40.405324,-79.827885
EASTMINSTER CHILD CARE CENTER,40.463045,-79.924090
EASTSIDE,40.459214,-79.927469
EASTSIDE NEIGHBORHOOD EMPLOYMENT CENTER,40.464697,-79.939382
EAT N PARK BRIDGEVILLE,40.369878,-80.101827
EAT N PARK DORMONT,40.395963,-80.034107
EAT N PARK GLENSHAW,40.512159,-79.947906
EAT N PARK HARMARVILLE,40.535267,-79.845893
EAT N PARK MCKEES ROCKS,40.464519,-80.058003
EAT N PARK MCKEESPORT,40.352231,-79.856729
EAT N PARK NEW KENSINGTON,40.556899,-79.761200
EAT N PARK PENN HILLS,40.466199,-79.826126
EAT N PARK ROBINSON,40.456032,-80.167577
EAT N PARK ROSS (SOUTHBOUND),40.545242,-80.016473
EAT N PARK ROSS TOWNSHIP (NORTHBOUND),40.538268,-80.011163
EAT N PARK SQUIRREL HILL,40.436017,-79.922882
EBENEZER BAPTIST CARE HOME,40.451700,-79.902399
EBENEZER BAPTIST CHURCH,40.444438,-79.980686
EDGEBROOK STOP,40.402082,-80.002159
EDGEWOOD (SWISSVALE AVE + MAPLE AVE),40.432987,-79.884764
EDGEWOOD COUNTRY CLUB,40.434801,-79.834322
EDGEWOOD ELEMENTARY SCHOOL,40.432592,-79.882742
EDGEWOOD TOWNE CENTER,40.426265,-79.887764
EDGEWORTH ELEMENTARY,40.547736,-80.190872
EDMC - STRIP DISTRICT,40.447354,-79.989849
EISENHOWER EXTENDED DAY SERVICES,40.349754,-80.061097
ELDER-ADO CENTER (CARRICK),40.393214,-79.986511
ELECTRONICS INSTITUTE,40.415449,-79.924914
ELIZA FURNACE TRAIL (JAIL TRAIL),40.435149,-79.995478
ELIZA MANOR PERSONAL CARE HOME,40.391894,-79.877315
ELIZABETH FORWARD HIGH SCHOOL,40.258399,-79.859420
ELIZABETH FORWARD JUNIOR HIGH,40.272629,-79.823554
ELIZABETH PA (THIRD AVE UNDER RT 51),40.273180,-79.885967
ELIZABETH SETON CHILDRENS PROGRAM,40.403252,-80.015621
ELLIOTT (CHARTIERS AVE + LORENZ AVE),40.443970,-80.040630
ELMORE SQUARE,40.439706,-79.970494
ELOISE AND EDITH CHRISTIAN DAY SCHOOL,40.402687,-79.910383
ELROY ELEMENTARY,40.379031,-79.973578
EMERSON ELEMENTARY,40.359608,-79.872641
EMPLOYEE STOP EAST BUSWAY,40.457674,-79.912096
EQT PLAZA,40.441934,-80.001807
ESPE ELEMENTARY,40.564602,-80.041450
ETHNAN SDA CHRISTIAN ELEMENTARY,40.464500,-79.899600
ETNA (FREEPORT ST + BUTLER ST),40.496438,-79.944138
ETNA SENIOR CITIZEN CENTER,40.497756,-79.944436
EVENING STAR PERSONAL CARE HOME,40.392664,-79.810773
EXPOMART,40.432332,-79.793993
EYE AND EAR HOSPITAL,40.441808,-79.961704
FAIRFAX APARTMENTS,40.447063,-79.948367
FAIRMONT HOTEL,40.441383,-80.002114
FAIRVIEW ELEMENTARY,40.545963,-79.900163
FAIRYWOOD (BROADHEAD FORDING RD + W PROS,40.448275,-80.082486
FALK CLINIC,40.442046,-79.958622
FALLOWFIELD STATION,40.411117,-80.023533
FASION ELEMENTARY,40.454690,-79.880708
FEDERAL BUILDING,40.443682,-79.994145
FEDERAL DISTRICT COURT BUILDING,40.442230,-79.994642
FEDERAL HILL (FEDERAL ST + SAMPSONIA WAY,40.457674,-80.007361
FIFTH AVENUE FAMILY CHILD CARE,40.453895,-79.913304
FIFTH AVENUE PLACE,40.441945,-80.003406
FINDLEY HOUSE,40.444973,-79.863874
FINELLO PAVILLION,40.434875,-79.959987
FIRST AVENUE STATION,40.435626,-79.996295
FIRST BETHEL UM CHURCH WEEKDAY MINISTRY,40.333613,-80.024085
FIRST PRESBYTERAIN CHURCH OF PGH - DOWNT,40.441260,-79.997454
FIRST YEARS DAY CARE CENTER,40.438958,-79.879076
FOCUS ON RENEWAL,40.465725,-80.063659
FOODLAND - BALDWIN,40.336504,-79.979034
FOODLAND - BETHEL PARK,40.311127,-80.033007
FOODLAND - CARRICK,40.405642,-79.991255
